John's Pizzeria,(212) 391-7560,260 W 44th St
Famous Famiglia Pizzeria,(212) 333-4646,1630 Broadway
Italia Mia Pizza,(212) 265-1414,1674 Broadway
Domino's Pizza,2129440400,230 W 41st St
Pronto Pizza-Lemlen Pizza,(212) 221-8886,135 W 41st St
Pizza Hut,2127678347,761-779 Seventh
Sbarro,2122219725,701 Seventh Ave
Papa John's/Subway,2122451900,765 Eighth Ave
A Slice of New York Pizza,212-453-8970,727 Eighth Ave
Patzeria Pizza,(212) 575-7646,231 W 46th St
Z Deli-Pizzeria,(212) 315-1659,803 Eighth Ave
Amadeus Pizza,(212) 489-6187,856 Eighth Ave
Villa Pizza,(212) 302-2941,662 Eighth Ave
Mama Sbarro's,(212) 768-4194,1606 Broadway
Ray's Famous Pizza,(212) 956-7297,736 Seventh Ave
Famous Famiglia Pizza,(212) 382-3030 ,686 Eighth Ave
